Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Learning_Rate
41,0.503489,0.545982,0.562671,0.494643,5.00e-03
42,0.502642,0.547321,0.533890,0.523214,5.00e-03
43,0.499516,0.550223,0.540457,0.514286,5.00e-03
44,0.499319,0.550000,0.534113,0.518750,5.00e-03
45,0.493387,0.556473,0.528123,0.530357,5.00e-03
46,0.498718,0.550893,0.528488,0.524107,5.00e-03
47,0.493833,0.558036,0.562329,0.494643,5.00e-03
48,0.494171,0.555357,0.517478,0.533929,5.00e-03
49,0.497399,0.551786,0.634227,0.425893,5.00e-03
50,0.497673,0.552009,0.535164,0.521429,5.00e-03
51,0.491339,0.557813,0.513848,0.540179,5.00e-03
52,0.490058,0.559375,0.506055,0.547321,5.00e-03
53,0.488824,0.559821,0.513079,0.541071,5.00e-03
54,0.487731,0.561384,0.522153,0.536607,5.00e-03
55,0.489879,0.558705,0.527974,0.528571,5.00e-03
56,0.486361,0.562054,0.513443,0.536607,5.00e-03
57,0.486119,0.561830,0.535282,0.516071,5.00e-03
58,0.486473,0.563393,0.514238,0.536607,5.00e-03
59,0.480337,0.567187,0.531009,0.518750,5.00e-03
60,0.483133,0.564732,0.507212,0.544643,5.00e-03
61,0.476693,0.570982,0.474792,0.574107,5.00e-03
62,0.479518,0.568304,0.532214,0.519643,5.00e-03
63,0.476460,0.571875,0.504235,0.546429,5.00e-03
64,0.478738,0.568973,0.503957,0.550000,5.00e-03
65,0.473716,0.574554,0.489687,0.558036,5.00e-03
66,0.472330,0.574330,0.505793,0.546429,5.00e-03
67,0.475127,0.573214,0.505887,0.544643,5.00e-03
68,0.476099,0.570982,0.488237,0.564286,5.00e-03
69,0.469001,0.578348,0.499212,0.550000,5.00e-03
70,0.472952,0.573438,0.543546,0.510714,5.00e-03
71,0.478709,0.568527,0.539921,0.517857,5.00e-03
72,0.467037,0.580357,0.501797,0.548214,5.00e-03
73,0.477409,0.570089,0.496640,0.552679,5.00e-03
74,0.472136,0.575670,0.511314,0.538393,5.00e-03
75,0.463949,0.582589,0.493430,0.557143,2.50e-03
76,0.460735,0.585268,0.485118,0.564286,2.50e-03
77,0.457950,0.588616,0.496240,0.550000,2.50e-03
78,0.455870,0.590179,0.507424,0.542857,2.50e-03
79,0.457706,0.587500,0.475944,0.571429,2.50e-03
80,0.455840,0.590179,0.478833,0.569643,2.50e-03
81,0.455039,0.590402,0.489292,0.558036,2.50e-03
82,0.453652,0.591741,0.484840,0.561607,2.50e-03
83,0.452684,0.592857,0.485992,0.562500,2.50e-03
84,0.455868,0.589509,0.481797,0.568750,2.50e-03
85,0.447430,0.597991,0.492547,0.557143,2.50e-03
86,0.453157,0.591741,0.482164,0.567857,2.50e-03
87,0.451806,0.594643,0.482361,0.563393,2.50e-03
88,0.448666,0.597768,0.488138,0.558929,1.25e-03
89,0.442909,0.601562,0.479650,0.566964,1.25e-03
90,0.444446,0.600893,0.488749,0.560714,1.25e-03
91,0.446803,0.596652,0.475021,0.572321,1.25e-03
92,0.444484,0.600446,0.477655,0.573214,1.25e-03
93,0.446804,0.598437,0.481138,0.567857,1.25e-03
94,0.443218,0.601339,0.481364,0.567857,1.25e-03
95,0.440393,0.604911,0.477406,0.568750,1.25e-03
96,0.440012,0.604464,0.474439,0.574107,1.25e-03
97,0.440685,0.604018,0.478119,0.569643,1.25e-03
98,0.441853,0.602902,0.482027,0.565179,1.25e-03
99,0.441769,0.602232,0.481257,0.566964,1.25e-03
100,0.443977,0.600670,0.498603,0.553571,1.25e-03
101,0.440923,0.603348,0.470988,0.575000,1.25e-03
102,0.440731,0.604018,0.472514,0.574107,1.25e-03
103,0.441507,0.602232,0.481249,0.566071,1.25e-03
104,0.440059,0.604464,0.478515,0.569643,1.25e-03
105,0.439363,0.604688,0.476997,0.571429,1.25e-03
106,0.440285,0.603571,0.482843,0.567857,1.25e-03
107,0.440162,0.604018,0.476883,0.572321,1.25e-03
108,0.436109,0.608036,0.480036,0.570536,1.25e-03
109,0.441423,0.602232,0.471782,0.575893,1.25e-03
110,0.441412,0.602679,0.476948,0.568750,1.25e-03
111,0.434494,0.610045,0.477235,0.571429,1.25e-03
112,0.436701,0.608259,0.477828,0.568750,1.25e-03
113,0.437316,0.606027,0.479460,0.570536,1.25e-03
114,0.437277,0.607366,0.480593,0.564286,1.25e-03
115,0.432619,0.611607,0.478992,0.568750,6.25e-04
116,0.435239,0.608259,0.479551,0.567857,6.25e-04
117,0.433725,0.609375,0.476086,0.573214,6.25e-04
118,0.431302,0.612723,0.475090,0.574107,6.25e-04
119,0.430626,0.613616,0.478343,0.570536,6.25e-04
120,0.436885,0.607812,0.474628,0.572321,6.25e-04
121,0.429131,0.614509,0.478113,0.567857,6.25e-04
122,0.428740,0.614509,0.474184,0.571429,6.25e-04
123,0.430328,0.613393,0.473054,0.573214,6.25e-04
124,0.429893,0.613393,0.473338,0.574107,6.25e-04
125,0.434110,0.610268,0.472905,0.574107,6.25e-04
126,0.430343,0.613393,0.474697,0.573214,6.25e-04
127,0.433743,0.610268,0.477089,0.570536,6.25e-04
