Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Learning_Rate
96,0.312158,0.719415,0.320408,0.712766,2.50e-03
97,0.314336,0.717199,0.327747,0.709220,2.50e-03
98,0.311744,0.720412,0.330803,0.707004,2.50e-03
99,0.308565,0.721520,0.324489,0.710106,2.50e-03
100,0.311764,0.719082,0.330417,0.703901,2.50e-03
101,0.311164,0.721077,0.336026,0.699468,2.50e-03
102,0.302993,0.726618,0.318988,0.716312,2.50e-03
103,0.305449,0.724845,0.338063,0.695922,2.50e-03
104,0.305000,0.725842,0.317722,0.716312,2.50e-03
105,0.298212,0.732159,0.318689,0.714539,1.25e-03
106,0.295690,0.733599,0.317555,0.716312,1.25e-03
107,0.296977,0.733045,0.304826,0.726950,1.25e-03
108,0.291564,0.737145,0.309771,0.723404,1.25e-03
109,0.295380,0.734375,0.313741,0.721631,1.25e-03
110,0.292051,0.737478,0.312020,0.723404,1.25e-03
111,0.292320,0.737145,0.317126,0.718528,1.25e-03
112,0.292087,0.736924,0.309311,0.724734,1.25e-03
113,0.291911,0.736702,0.309426,0.724734,1.25e-03
114,0.291539,0.738254,0.305114,0.725621,1.25e-03
115,0.291531,0.737589,0.302438,0.729167,1.25e-03
116,0.292452,0.736702,0.303235,0.731826,1.25e-03
117,0.289875,0.738918,0.302324,0.729610,1.25e-03
118,0.292050,0.736480,0.300692,0.730496,1.25e-03
119,0.286134,0.743019,0.307810,0.727394,1.25e-03
120,0.287806,0.740802,0.304417,0.727837,1.25e-03
121,0.287198,0.742465,0.303678,0.729167,1.25e-03
122,0.285303,0.743573,0.306821,0.724734,1.25e-03
123,0.289696,0.740027,0.305786,0.728723,1.25e-03
124,0.286246,0.742575,0.305458,0.728280,1.25e-03
125,0.286335,0.742243,0.306135,0.727394,1.25e-03
126,0.287283,0.740691,0.302547,0.730496,1.25e-03
127,0.287319,0.742021,0.305104,0.727394,1.25e-03
128,0.285333,0.743240,0.311406,0.723848,1.25e-03
129,0.284576,0.744792,0.302069,0.731383,1.25e-03
130,0.284508,0.744348,0.306127,0.727837,1.25e-03
131,0.281054,0.748227,0.319694,0.716312,1.25e-03
132,0.280593,0.747562,0.296362,0.736259,6.25e-04
133,0.277828,0.749668,0.292328,0.742021,6.25e-04
134,0.279392,0.749224,0.296996,0.735816,6.25e-04
135,0.278181,0.748781,0.301586,0.728723,6.25e-04
136,0.275198,0.751551,0.297321,0.734043,6.25e-04
137,0.273256,0.753657,0.296616,0.735372,6.25e-04
138,0.276790,0.750887,0.296286,0.735816,6.25e-04
139,0.275331,0.753103,0.294808,0.735816,6.25e-04
140,0.274536,0.753879,0.295867,0.735372,6.25e-04
141,0.274118,0.754100,0.292292,0.738475,6.25e-04
142,0.274807,0.753435,0.302263,0.730496,6.25e-04
143,0.272588,0.755430,0.300435,0.731826,6.25e-04
144,0.274011,0.753657,0.295822,0.735816,6.25e-04
145,0.277341,0.750887,0.299632,0.731826,6.25e-04
146,0.274817,0.753103,0.298775,0.733599,6.25e-04
147,0.271944,0.756427,0.293093,0.738475,6.25e-04
148,0.273172,0.753435,0.295983,0.736259,6.25e-04
149,0.273688,0.754433,0.301992,0.729610,6.25e-04
150,0.272129,0.755541,0.296947,0.734043,6.25e-04
151,0.273194,0.753989,0.292483,0.740691,6.25e-04
152,0.273168,0.754876,0.297953,0.733156,6.25e-04
153,0.268571,0.759198,0.296237,0.736702,6.25e-04
154,0.269695,0.757314,0.293019,0.739362,6.25e-04
155,0.270388,0.757203,0.292957,0.738475,3.13e-04
156,0.269419,0.757535,0.295622,0.736259,3.13e-04
157,0.269437,0.757646,0.295419,0.734486,3.13e-04
158,0.266599,0.760417,0.293285,0.740248,3.13e-04
159,0.268912,0.758754,0.292968,0.739362,3.13e-04
160,0.267452,0.760417,0.293998,0.738475,3.13e-04
161,0.268693,0.758754,0.292758,0.739805,3.13e-04
162,0.270518,0.756427,0.298432,0.734929,3.13e-04
163,0.266343,0.760195,0.296153,0.735372,3.13e-04
164,0.270146,0.757425,0.296663,0.734043,3.13e-04
165,0.267857,0.759419,0.294658,0.735816,3.13e-04
166,0.264716,0.762522,0.295788,0.735372,3.13e-04
167,0.266426,0.761082,0.290753,0.740248,3.13e-04
168,0.267702,0.759641,0.294492,0.737145,3.13e-04
169,0.264777,0.762079,0.292571,0.740248,3.13e-04
170,0.266395,0.760860,0.291108,0.740248,3.13e-04
171,0.266459,0.761192,0.292359,0.739362,3.13e-04
172,0.268991,0.757646,0.290592,0.740691,3.13e-04
173,0.265430,0.761414,0.293715,0.737145,3.13e-04
174,0.267434,0.759419,0.292302,0.738475,3.13e-04
175,0.265053,0.762301,0.291146,0.738032,3.13e-04
176,0.267171,0.759641,0.292263,0.740691,3.13e-04
